ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),GII Rank (2021),Gender Inequality Index (2018),Gender Inequality Index (2019),Gender Inequality Index (2020),Gender Inequality Index (2021)
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66,79,0.405,0.335,0.335,0.333
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122,68,0.289,0.298,0.287,0.285
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,91,160,0.365,0.367,0.366,0.631
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,57,81,0.348,0.344,0.345,0.344
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97,61,0.253,0.27,0.264,0.259
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48,65,0.286,0.277,0.277,0.272
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160,146,0.562,0.561,0.56,0.56
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166,131,0.533,0.53,0.53,0.53
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77,49,0.249,0.205,0.198,0.2
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58,58,0.258,0.253,0.242,0.235
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120,123,0.483,0.492,0.492,0.492
VNM,Viet Nam,Asia,Northern Hemisphere,High,EAP,115,71,0.304,0.305,0.305,0.296
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109,97,0.405,0.41,0.408,0.405
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154,138,0.537,0.534,0.535,0.54
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146,134,0.535,0.533,0.533,0.532
