ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2020),Inequality in income (2021),Inequality in income (2022),,population
GNB,Guinea-Bissau,Africa,Northern Hemisphere,Low,SSA,177,37.9,37.9,37.9,,28543364
GRC,Greece,Europe,Northern Hemisphere,Very High,,33,17.44667,16.63777,16.63777,,28543364
GTM,Guatemala,America,Northern Hemisphere,Medium,LAC,135,29.56,29.56,29.56,,28993987
GUY,Guyana,America,Northern Hemisphere,High,LAC,108,25.1,25.1,25.1,,29454738
HKG,Hong Kong,Asia,Northern Hemisphere,Very High,,4,25.56271964,25.56271964,25.56271964,,30388783
HND,Honduras,America,Northern Hemisphere,Medium,LAC,137,34.911526,34.911526,34.911526,,30857244
HRV,Croatia,Europe,Northern Hemisphere,Very High,,40,14.37065,12.9537,12.9537,,30857244
HTI,Haiti,America,Northern Hemisphere,Low,LAC,163,50.43867,50.43867,50.43867,,30857244
HUN,Hungary,Europe,Northern Hemisphere,Very High,,46,13.93919,12.29405,12.29405,,31326473
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114,20.11727,20.11727,20.11727,,31326473
IND,India,Asia,Northern Hemisphere,Medium,SA,132,19.369,19.369,19.369,,31326473
IRL,Ireland,Europe,Northern Hemisphere,Very High,,8,14.70554,12.26296,12.26296,,31326473
IRN,Iran,Asia,Northern Hemisphere,High,SA,76,19.71428189,19.71428189,19.71428189,,31795517
IRQ,Iraq,Asia,Northern Hemisphere,Medium,AS,121,12.67895,12.67895,12.67895,,31795517
ISL,Iceland,Europe,Northern Hemisphere,Very High,,3,9.51407,9.51407,9.51407,,31795517
ISR,Israel,Asia,Northern Hemisphere,Very High,,22,23.134,23.134,23.134,,32263561
ITA,Italy,Europe,Northern Hemisphere,Very High,,30,20.87235,20.87235,20.87235,,32729739
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110,31.96616,31.96616,31.96616,,32729739
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102,17.91185,17.91185,17.91185,,33193918
JPN,Japan,Asia,Northern Hemisphere,Very High,,19,16.662889,16.662889,16.662889,,33193918
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56,10.33987,10.33987,10.33987,,33193918
KEN,Kenya,Africa,Northern Hemisphere,Medium,SSA,152,33.14821,33.14821,33.14821,,33193918
KGZ,Kyrgyzstan,Asia,Northern Hemisphere,Medium,ECA,118,13.83059,13.83059,13.83059,,33655151
KHM,Cambodia,Asia,Northern Hemisphere,Medium,EAP,146,14.34211,14.34211,14.34211,,33655151
KIR,Kiribati,Oceania,Northern Hemisphere,Medium,EAP,136,19.35687,19.35687,19.35687,,33655151
KOR,South Korea,Asia,Northern Hemisphere,Very High,,19,16.13,16.13,16.13,,33655151
KWT,Kuwait,Asia,Northern Hemisphere,Very High,AS,50,,,,,33655151
LAO,Lao,Asia,Northern Hemisphere,Medium,EAP,140,20.58334,20.58334,20.58334,,33655151
LBN,Lebanon,Asia,Northern Hemisphere,High,AS,112,,,,,33655151
LBR,Liberia,Africa,Northern Hemisphere,Low,SSA,178,22.72204,19.74577,19.74577,,34110917
LBY,Libya,Africa,Northern Hemisphere,High,AS,104,,,,,34110917
LCA,Saint Lucia,America,Northern Hemisphere,High,LAC,106,27.39586,27.39586,27.39586,,34110917
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73,22.36351,22.36351,22.36351,,34558115
LSO,Lesotho,Africa,Southern Hemisphere,Low,SSA,168,29.57664,29.57664,29.57664,,34558115
LTU,Lithuania,Europe,Northern Hemisphere,Very High,,35,20.12206,17.05362,17.05362,,34558115
LUX,Luxembourg,Europe,Northern Hemisphere,Very High,,17,18.68508,16.6522,16.6522,,34558115
LVA,Latvia,Europe,Northern Hemisphere,Very High,,39,19.33165,17.45024,17.45024,,34558115
MAR,Morocco,Africa,Northern Hemisphere,Medium,AS,123,22.50352,22.50352,22.50352,,34994814
MCO,Monaco,Europe,Northern Hemisphere,,,,,,,,34994814
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80,10.43722208,10.43722208,10.43722208,,34994814
MDG,Madagascar,Africa,Southern Hemisphere,Low,SSA,173,27.557,27.557,27.557,,34994814
MDV,Maldives,Asia,Northern Hemisphere,High,SA,90,25.8459,25.8459,25.8459,,35419682
MEX,Mexico,America,Northern Hemisphere,High,LAC,86,29.798888,29.798888,29.798888,,35419682
MHL,Marshall Islands,Oceania,Northern Hemisphere,Medium,EAP,131,,,,,35419682
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78,19.15726,19.15726,19.15726,,35419682
MLI,Mali,Africa,Northern Hemisphere,Low,SSA,186,16.56372,16.56372,16.56372,,35419682
MLT,Malta,Europe,Northern Hemisphere,Very High,,23,12.58503,13.85802,13.85802,,35833969
MMR,Myanmar,Asia,Northern Hemisphere,Medium,EAP,149,,,,,35833969
MNE,Montenegro,Europe,Northern Hemisphere,Very High,ECA,49,16.92405,16.92405,16.92405,,35833969
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96,16.94628,16.94628,16.94628,,35833969
MOZ,Mozambique,Africa,Southern Hemisphere,Low,SSA,185,28.39454,28.39454,28.39454,,35833969
MRT,Mauritania,Africa,Northern Hemisphere,Medium,SSA,158,,17.33987,17.33987,,36241590
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63,18.18098242,18.18098242,18.18098242,,36241590
MWI,Malawi,Africa,Southern Hemisphere,Low,SSA,169,32.4,31.27695,31.27695,,36241590
MYS,Malaysia,Asia,Northern Hemisphere,Very High,EAP,62,,,,,36241590
NAM,Namibia,Africa,Southern Hemisphere,Medium,SSA,139,53.58558,53.58558,53.58558,,36241590
NER,Niger,Africa,Northern Hemisphere,Low,SSA,189,16.43389921,16.43389921,16.43389921,,36241590
NGA,Nigeria,Africa,Northern Hemisphere,Low,SSA,163,28.05169,28.05169,28.05169,,36241590
NIC,Nicaragua,America,Northern Hemisphere,Medium,LAC,126,30.693801,30.693801,30.693801,,36648068
NLD,Netherlands,Europe,Northern Hemisphere,Very High,,10,11.79038,11.89275,11.89275,,36648068
NOR,Norway,Europe,Northern Hemisphere,Very High,,2,11.53728,11.43144,11.43144,,36648068
NPL,Nepal,Asia,Northern Hemisphere,Medium,SA,143,16.31632,16.31632,16.31632,,36648068
NRU,Nauru,Oceania,Southern Hemisphere,,EAP,,,,,,37057452
NZL,New Zealand,Oceania,Southern Hemisphere,Very High,,13,16.44939836,16.44939836,16.44939836,,37057452
OMN,Oman,Asia,Northern Hemisphere,Very High,AS,54,20.08885691,20.08885691,20.08885691,,37057452
PAK,Pakistan,Asia,Northern Hemisphere,Low,SA,161,17.23416,17.23416,17.23416,,37057452
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61,36.569706,36.569706,36.569706,,37471509
PER,Peru,America,Southern Hemisphere,High,LAC,84,26.300654,26.300654,26.300654,,37471509
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116,28.09546,28.09546,28.09546,,37471509
PLW,Palau,Oceania,Northern Hemisphere,High,EAP,80,,,,,37471509
PNG,Papua New Guinea,Oceania,Southern Hemisphere,Medium,EAP,156,28.89932,28.89932,28.89932,,37889370
POL,Poland,Europe,Northern Hemisphere,Very High,,34,13.14542,12.10742,12.10742,,37889370
PRK,North Korea,Asia,Northern Hemisphere,,EAP,,,,,,37889370
PRT,Portugal,Europe,Northern Hemisphere,Very High,,38,16.50867,15.46189,15.46189,,37889370
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105,30.441064,30.441064,30.441064,,38309379
PSE,"Palestine, State of",Asia,Northern Hemisphere,High,AS,106,31.64,31.64,31.64,,38309379
QAT,Qatar,Asia,Northern Hemisphere,Very High,AS,42,,,,,38309379
ROU,Romania,Europe,Northern Hemisphere,Very High,,53,22.52086,20.89714,20.89714,,38309379
RUS,Russian Federation,Europe,Northern Hemisphere,Very High,,52,17.645,17.645,17.645,,38309379
RWA,Rwanda,Africa,Southern Hemisphere,Low,SSA,165,36.39382,27.19248,27.19248,,38728696
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,35,,,,,38728696
SDN,Sudan,Africa,Northern Hemisphere,Low,AS,172,33,33,33,,38728696
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,170,23.384,23.384,23.384,,38728696
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,12,24.96040064,24.96040064,24.96040064,,39145488
SLB,Solomon Islands,Oceania,Southern Hemisphere,Medium,EAP,155,,,,,39145488
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,181,19.85569,19.85569,19.85569,,39145488
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,125,22.481244,22.481244,22.481244,,39145488
SOM,Somalia,Africa,Northern Hemisphere,,AS,,24.35,24.35,24.35,,39558890
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63,23.65848,18.49592,18.49592,,39558890
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,191,32.25296,32.25296,32.25296,,39558890
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,SSA,138,26.209,26.209,26.209,,39558890
SUR,Suriname,America,Northern Hemisphere,High,LAC,99,46.69631,46.69631,46.69631,,39970224
SVK,Slovakia,Europe,Northern Hemisphere,Very High,,45,11.33007,9.06554,9.06554,,39970224
SVN,Slovenia,Europe,Northern Hemisphere,Very High,,23,8.59101,8.30524,8.30524,,39970224
SWE,Sweden,Europe,Northern Hemisphere,Very High,,7,12.58113,12.77164,12.77164,,40382389
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,144,37.9,37.9,37.9,,40382389
SYC,Seychelles,Africa,Southern Hemisphere,High,SSA,72,29.34535638,29.34535638,29.34535638,,40382389
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,AS,150,,,,,40799407
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,190,26.50219,26.50219,26.50219,,40799407
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,162,26.85326,26.85326,26.85326,,40799407
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66,18.7899,18.7899,18.7899,,40799407
TJK,Tajikistan,Asia,Northern Hemisphere,Medium,ECA,122,14.4674,14.4674,14.4674,,40799407
TKM,Turkmenistan,Asia,Northern Hemisphere,High,ECA,91,26.20491,26.20491,26.20491,,40799407
TLS,Timor-Leste,Asia,Southern Hemisphere,Medium,EAP,140,13.58745,13.58745,13.58745,,41223889
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,91,18.24092,18.24092,18.24092,,41223889
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,57,,,,,41223889
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97,16.88955,16.88955,16.88955,,41223889
TUR,Turkey,Asia,Northern Hemisphere,Very High,ECA,48,23.07928288,23.07928288,23.07928288,,41656879
TUV,Tuvalu,Oceania,Southern Hemisphere,Medium,EAP,130,,22.94714,22.94714,,41656879
TZA,Tanzania,Africa,Southern Hemisphere,Low,SSA,160,22.4,22.4,22.4,,41656879
UGA,Uganda,Africa,Northern Hemisphere,Low,SSA,166,24.94038796,24.94038796,24.94038796,,41656879
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77,8.524722702,8.524722702,8.524722702,,42096739
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58,23.543408,23.543408,23.543408,,42096739
USA,United States,America,Northern Hemisphere,Very High,,21,26.002,23.222,23.222,,42096739
UZB,Uzbekistan,Asia,Northern Hemisphere,High,ECA,101,,,,,42096739
VEN,Venezuela,America,Northern Hemisphere,Medium,LAC,120,21,21,21,,42539925
VNM,Viet Nam,Asia,Northern Hemisphere,High,EAP,115,21.43403,14.60094,14.60094,,42539925
VUT,Vanuatu,Oceania,Southern Hemisphere,Medium,EAP,140,19.68256999,19.68256999,19.68256999,,42539925
WSM,Samoa,Oceania,Southern Hemisphere,High,EAP,111,,21.87008,21.87008,,42981515
YEM,Yemen,Asia,Northern Hemisphere,Low,AS,183,21.80323,21.80323,21.80323,,42981515
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109,56.996,56.996,56.996,,42981515
ZMB,Zambia,Africa,Southern Hemisphere,Medium,SSA,154,44.84022,44.84022,44.84022,,43417765
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,SSA,146,28.76901,28.76901,28.76901,,43417765
